df01,df02,df03,df04,df05,df06,df07,df08,df09,df10,i1,i2,i3,i4,i5,i6,i7
0.0879606602603602,0.0540590780493764,0.0252096142058536,0.0274713661921584,0.0128341271697431,0.00837372424071006,0.00459165042660484,0.00516286747775679,0.00474694756923231,0.00307480942393677,0.168083620456198,0.000614508479637171,0.00013077624387807,5.71775104737315e-05,3.80815942436415e-09,-1.41733745231029e-06,3.15336969940052e-09
0.0183325142757933,0.0641922380636373,0.0213351158490625,0.028934652413586,0.012263060875406,0.0112299899510848,0.00356611493895844,0.00586153710536664,0.00374648636964241,0.00377850078446776,0.164506924542429,0.0010869024475826,4.2876190463528e-05,1.01157608366481e-08,-5.39593107944031e-15,-6.85966112547544e-11,3.90722879150443e-15
0.0182150918434176,0.0520099915128154,0.0199367052026811,0.0277502741468736,0.00935444886361097,0.0108287499100822,0.00382818239997997,0.0060793683886918,0.00358275610270878,0.00271570387341848,0.163434155800905,0.000766897610374206,4.20229936640496e-05,5.38691111503553e-09,-8.51272114614306e-16,1.02567444782977e-10,-2.41752849217549e-15
0.052134951435294,0.0502852409934679,0.0452826616663216,0.0269327407229669,0.023572897582914,0.0255292779298245,0.00986644754413579,0.0183463666873192,0.010125625967824,0.019193205826887,0.194680522184464,0.000430335718580696,0.000350905759667707,9.43307382021181e-08,-4.53506138902843e-13,-1.85901880214026e-09,2.98121103828429e-13
0.0977825021104369,0.04955622789109,0.0293322641796964,0.0254984402214869,0.0151466649520436,0.00732787422646845,0.00575293168807401,0.00497250919887351,0.00566582862782717,0.00268232885018956,0.178424276387795,0.000125037176444751,0.000787986446003642,0.000438547890356927,2.48748918356038e-07,-4.86144422112982e-06,6.77157863228138e-08
0.0188499671964279,0.0626320991457975,0.0217044709306135,0.0286358394658783,0.0119149646355502,0.0107165471563956,0.00338799933115981,0.0057367259147331,0.00350131337973023,0.00370278341028842,0.164395403227691,0.00104912399799014,4.53543589020113e-05,2.12216838193394e-08,-2.00562845813219e-14,-3.29430484813686e-10,5.58703459174032e-15
0.0178216821846548,0.0499540570022033,0.018861868235559,0.0246841246134943,0.00900533764424944,0.00954343902556649,0.00287030258186369,0.00456761064184445,0.00324894753616577,0.00325188324802263,0.163212178383098,0.000761205814994304,4.46213188492066e-05,1.18808495037169e-08,3.35389835446981e-15,-3.02942312625767e-10,7.97389120038217e-15
0.0511333834611473,0.0604310922104324,0.02184715186727,0.0276717095046069,0.0131020950022617,0.0103941363442095,0.00444694833059305,0.00517472458233168,0.00421928643064919,0.00377705616206488,0.165632568836265,0.000993894255936004,2.46378719349571e-05,3.71726396971148e-06,-3.24829848570885e-11,-6.90816777011061e-08,1.45047743458324e-11
0.0586557930667736,0.054585341838221,0.0260697800099809,0.0267872681849421,0.0113016264836185,0.00991701893148063,0.00379371079965897,0.00617651212238446,0.00379169770335225,0.00303908894451496,0.168952756533443,0.000808635358504228,0.00027733106361822,6.60947098669761e-05,8.94711888753578e-09,-4.84560679606897e-07,-1.56114705591341e-10
0.0225090800659735,0.045185617386626,0.0234226578595959,0.0256999088770634,0.00977946425505877,0.0100788845844897,0.0024933551035468,0.00626110913212716,0.00300367224574412,0.0042639128962477,0.162968408585837,0.00061345466411224,5.66331561812226e-05,9.6489226069466e-09,-4.16281937872754e-15,1.94860690713466e-10,-5.79191369696794e-15
0.0390109791661388,0.0643106957785285,0.024896529983094,0.0278354301706477,0.0114461742911094,0.0103875077582075,0.00303558954649422,0.00586066064187101,0.00324245814929465,0.00392510349618275,0.166363986900956,0.00113208310795656,7.40770933727905e-05,2.67284680359372e-06,3.73845511538557e-11,-1.61131592093628e-08,-4.11165482243895e-12
0.0222050286873186,0.0712528838872219,0.0233184058770492,0.0266984265920759,0.0117246861085435,0.0114836061268101,0.00293694850145318,0.00538875175414852,0.00285819974249756,0.00376438061242724,0.16570208012472,0.00144331951282834,3.8502897971956e-05,3.16337182144102e-08,2.59599962376063e-14,1.04041151728484e-09,2.33433379183807e-14
0.0227429488862586,0.0586653164200634,0.0229776740060036,0.028250151917281,0.0103952383658506,0.010494069542898,0.00362510370448297,0.00626852768296601,0.00390974398272822,0.00308795858412391,0.164244377223645,0.000989480533272374,5.07842514712348e-05,4.6070315446658e-09,-1.67930222305325e-15,-1.29428862146149e-10,-1.46484906942623e-15
0.0251222240430014,0.0568852826738573,0.0230539230347935,0.029984346340819,0.00955179339538698,0.0106419303171397,0.00295378129214153,0.00696420716626228,0.00303916296501177,0.00345742170378628,0.163885644637296,0.000861616108613621,4.5864033546745e-05,2.45281538852279e-09,1.27499224710377e-16,3.62589277998434e-11,8.12744763641718e-16
0.0214526035957685,0.0402968472150525,0.0203841025060558,0.0189264019746331,0.0071973819830384,0.00708897376181781,0.00478574846892992,0.00678638566525757,0.00497590858590566,0.00550085634685461,0.162647836480973,0.000583375613837025,5.22702702079716e-05,2.99531012393272e-09,6.90309552384617e-16,1.20599781178522e-11,9.63411412549874e-16
0.0237866634277618,0.0580133039138248,0.0234368600789663,0.0289313592792559,0.0109477300783295,0.00999163829662266,0.00323010504921615,0.00609978037439343,0.00350397067158598,0.003619768446754,0.164268145023384,0.000872454223091633,5.10272429010111e-05,8.5787165219743e-08,-1.24060538329127e-13,-1.96253259111525e-09,1.29710418901162e-13
0.00908555439264434,0.0199100322024273,0.00892755667549979,0.00249486921219008,0.00327685403781907,0.00167413710293199,0.00201151385928048,0.000858320409671668,0.00169539572788089,0.000779950296503489,0.178275670318958,0.000263489164158868,1.39831976759911e-05,1.96487981334895e-06,8.89502655508069e-12,2.39811360679973e-08,5.19170989956043e-12
0.0911929749571257,0.0147798587458587,0.0127073085981505,0.013820789131196,0.00728071247796184,0.00891189985821856,0.0078978309802674,0.00872947778564593,0.00838062209632501,0.00762241554478447,0.19890060916834,0.0004646403560116,0.0015996189962952,0.00123264970515912,1.7042960932796e-06,2.51794031443247e-05,3.02211623814987e-07
0.0519641236098874,0.0392964348906078,0.0340157344825504,0.0248525179374673,0.0234988872148666,0.019284910443586,0.016720317112112,0.0152762135787769,0.0134634267045822,0.0112995902991766,0.189615300556384,0.000519219464112186,0.000316912329353751,8.25385832344476e-05,1.23311615489745e-08,1.5816339711512e-06,5.11306822212406e-09
0.00549307667847964,0.0044454520198203,0.00537705456751837,0.00244732873698556,0.000534329525711452,0.00199752333215052,0.000476054987504379,0.00186975588966105,0.000530772256904977,0.00163284969184401,0.170652906254575,4.59325677811982e-05,8.42642603036924e-06,1.15636972154589e-06,3.57534288317075e-12,-3.56822904057472e-09,4.96585535858527e-13
0.00989956988301697,0.00914508850463326,0.00904599626980288,0.00547302382569863,0.00167715358414241,0.00277994697677844,0.00105088521041835,0.00155204393648962,0.000526408734013884,0.00142094787023966,0.187099617592017,5.00649170802792e-05,1.44483709943484e-05,6.72826805878279e-06,3.09064522339701e-11,-4.58074914891402e-08,5.86989090497169e-11
0.0190946187401107,0.0297643031207009,0.0120691204423827,0.0253103119278961,0.0139839754505102,0.0115968642392578,0.00925947991386732,0.00590457500083873,0.00441238483477357,0.00592755577843141,0.18661969956409,0.000200367315213954,4.29510688791948e-06,7.35371459098787e-06,-1.72739556890729e-11,6.80284611829362e-08,-3.75451156010086e-11
0.00803647814165273,0.0205744522002113,0.00854284826153037,0.00237082759739386,0.00308225584087318,0.00233335078379115,0.000435244686609687,0.0016957961951614,0.00101323122604328,0.000662271654053762,0.17102270932308,0.000263284330182168,1.39482689816353e-05,2.263336924967e-06,-1.2716877235027e-11,4.5544405066303e-09,-5.09912444864683e-14
0.169163980625191,0.0423428308187044,0.0275527583902228,0.0164887180914217,0.0080858054014334,0.00489538546328495,0.00440209454208474,0.00410525114508518,0.00428012103095964,0.00230662207154316,0.177106535610003,0.000746935898911742,0.0009449625676882,0.00041577460267422,2.60504411917233e-07,2.51405882684755e-06,-7.48415290967523e-09
0.00737452113829259,0.00567633795168361,0.00771254259797504,0.00327415097225327,0.00472481868936757,0.0039156529469207,0.00517821557981009,0.0036825807679231,0.00436489795323016,0.00332170119048044,0.183398100744413,1.49421818592711e-06,8.97031781490186e-06,2.25566659380219e-06,4.31300796672309e-12,-1.06168629554348e-09,9.18419471636279e-12
0.0389679198289216,0.0290949051650594,0.0324498082613728,0.0130559862751511,0.0137351769968778,0.0147031735613491,0.0168452935318741,0.0163909021721307,0.01281046809809,0.00980469927634082,0.185639010978509,0.000330801200280852,0.000224076901745137,1.44814488055263e-05,6.49595810449275e-11,1.19619900427043e-07,8.22367368938969e-10
0.00842684168942803,0.0179490681243092,0.00832697263644357,0.00313906854519697,0.00293041095241323,0.00303591730791,0.00254109933796563,0.00135444252307541,0.00265436803894608,0.000862152815192538,0.165888941227773,0.000268304070950152,1.63799327137941e-05,6.37330865445625e-08,-3.76702123586255e-14,8.14693176147273e-10,5.31164427385162e-14
0.0114282703816364,0.0164933555838623,0.0117856325319292,0.00227597704732922,0.00440092110387523,0.00187071904880714,0.00202781840781656,0.00222397456224221,0.00118224241242034,0.00166325074436035,0.176741959467764,0.000178372351531742,2.24266658773585e-05,2.04887532435919e-06,2.90227522190319e-14,1.36399177674162e-09,1.38884796313676e-11
0.00538934111335279,0.0157383272269972,0.00552568497864499,0.00664791059120642,0.00184028991650453,0.00167839644339855,0.00139317880918124,0.00151595066571277,0.00126766336017076,0.00195356578473594,0.178982980701172,0.000139862410867788,7.68192031102464e-06,2.37185078497254e-06,1.35915554065666e-12,5.36454620592839e-09,1.00326761084864e-11
0.0670927242900141,0.0587133015407759,0.0561115823352103,0.0504642876327085,0.042753977658717,0.038494046159202,0.0328173753288932,0.032273248368956,0.0254166352671847,0.0215046825951067,0.199776901594128,0.000741788779330773,0.00143666234501687,0.00099322719578261,1.16059333017781e-06,2.62178062884176e-05,2.46357514897482e-07
